Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2020/06/09,19041.329,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2020/05/27,19041.264,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2020/04/16,19041.208,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/11/09,19041.1348,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/10/12,19041.1288,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/09/14,19041.1237,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/08/10,19041.1165,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/07/13,19041.111,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/07/13,19041.111,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,2004,Pro,2021/06/08,19041.1052,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/07/14,18363.959,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/06/09,18363.9,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/05/12,18363.836,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/04/14,18363.778,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/03/12,18363.72,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/02/11,18363.657,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/01/14,18363.592,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2019/12/10,18363.535,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2019/10/05,18363.418,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/06/08,18363.1621,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/05/11,18363.1556,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/04/13,18363.15,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/03/09,18363.144,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/02/11,18363.1379,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2021/01/12,18363.1316,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/12/08,18363.1256,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/11/10,18363.1198,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/10/13,18363.1139,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/09/08,18363.1082,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1909,Pro,2020/08/11,18363.1016,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/07/14,18362.959,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/05/12,18362.836,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/03/12,18362.72,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/02/11,18362.657,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/12/10,18362.535,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/11/12,18362.476,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/09/10,18362.356,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/03/29,18362.3,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/07/09,18362.239,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/06/11,18362.175,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/12/08,18362.1256,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/11/10,18362.1198,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/10/13,18362.1139,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2020/09/08,18362.1082,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1903,Pro,2019/12/10,18362.1016,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2020/01/14,17763.973,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2019/12/10,17763.914,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2019/11/12,17763.864,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2019/10/08,17763.805,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2019/09/10,17763.737,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
7,0,Error,Microsoft-Windows-GenericRoaming/Admin,TriggerSyncTask,,,Windows 10,1809,Pro,2019/08/13,17763.678,There was an error while scheduling a retry sync task for user {Username}. {HResultFailure},{Username} | {HResultFailure}
