Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4001,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Qualified,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Network connected device (Name: {String1}; Model {String2}) got qualified for automatic setup,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2021/05/11,19041.985,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2021/04/13,19041.928,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2021/03/09,19041.867,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2021/02/09,19041.804,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2021/01/12,19041.746,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/12/08,19041.685,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/11/10,19041.63,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/10/13,19041.572,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/09/08,19041.508,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/08/11,19041.45,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/07/14,19041.388,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/06/09,19041.329,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/05/27,19041.264,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,2004,Pro,2020/04/16,19041.208,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
4003,0,Information,Microsoft-Windows-NcdAutoSetup/Operational,Device Disqualified,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Network connected device (Name: {String1}; Model {String2}) got disqualified for automatic setup because its device category is disqualified,{String1} | {String2}
